brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,type,display_size,Touchscreen,msoffice,latest_price
Lenovo,A6-9225,AMD,A6-9225 Processor,10th,4,DDR4,0,1024,Windows,64-bit,0,ThinNlight,15.6,No,No,24990
Lenovo,Ideapad,AMD,APU Dual,10th,4,DDR4,0,512,Windows,64-bit,0,Casual,15.6,No,No,19590
Avita,PURA,AMD,APU Dual,10th,4,DDR4,128,0,Windows,64-bit,0,ThinNlight,15.6,No,No,19990
Avita,PURA,AMD,APU Dual,10th,4,DDR4,128,0,Windows,64-bit,0,ThinNlight,15.6,No,No,21490
Avita,PURA,AMD,APU Dual,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,24990
Avita,PURA,AMD,APU Dual,10th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,No,24990
HP,APU,AMD,APU Dual,10th,4,DDR4,0,1024,Windows,32-bit,0,Casual,14,No,No,20900
Lenovo,APU,AMD,APU Dual,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,21896
HP,Athlon,AMD,Athlon Dual,10th,32,DDR4,32,0,Windows,32-bit,4,Casual,14,No,No,26899
acer,Aspire,AMD,Athlon Dual,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,31990
ASUS,ExpertBook,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,34649
Lenovo,Other,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,38999
Lenovo,v15,Intel,Core i3,10th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,39999
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,512,0,Windows,32-bit,2,Casual,15.6,No,No,69990
ASUS,VivoBook,Intel,Celeron Dual,Other,4,DDR4,0,512,Windows,64-bit,0,Casual,15.6,No,No,26990
ASUS,EeeBook,Intel,Celeron Dual,Other,4,DDR4,0,512,Windows,64-bit,0,Casual,15.6,No,No,22990
ASUS,EeeBook,Intel,Celeron Dual,Other,4,DDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,21990
ASUS,ExpertBook,Intel,Core i5,10th,8,DDR4,0,1024,Windows,32-bit,2,Casual,14,No,No,58799
Lenovo,Other,Intel,Core i5,10th,4,DDR4,0,1024,Windows,32-bit,0,Casual,14,No,No,49999
acer,Aspire,AMD,Ryzen,10th,4,DDR4,0,512,Windows,32-bit,4,Casual,15.6,No,No,54990
acer,Nitro,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,32-bit,4,Casual,15.6,No,No,59990
acer,Nitro,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,32-bit,6,Casual,15.6,No,No,93700
acer,Nitro,AMD,Ryzen 5,10th,4,DDR4,0,512,Windows,32-bit,4,Casual,15.6,No,No,72990
Avita,Cosmos,Intel,Celeron Dual,Other,4,DDR4,0,512,Windows,64-bit,0,Casual,15.6,No,No,17490
ASUS,EeeBook,Intel,Celeron Dual,Other,4,DDR4,0,512,Windows,64-bit,0,Casual,15.6,No,No,22990
ASUS,ExpertBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,35990
HP,x360,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14,Yes,No,56490
HP,x360,Intel,Core i5,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14,No,No,65390
Lenovo,IdeaPad,Intel,Celeron Dual,Other,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,No,31999
HP,Celeron,Intel,Celeron Dual,Other,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,No,32490
Lenovo,IdeaPad,Intel,Celeron Dual,Other,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,31799
ASUS,VivoBook,Intel,Celeron Dual,Other,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,29890
ASUS,Celeron,Intel,Celeron Dual,Other,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,23990
HP,15q,Intel,Core i3,7th,4,DDR4,0,1024,Windows,64-bit,0,Casual,15.6,No,No,32955
HP,250-G6,Intel,Core i5,7th,4,DDR4,0,1024,Windows,32-bit,2,Casual,15.6,No,No,46200
ASUS,Other,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,No,34429
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,32-bit,0,ThinNlight,15.6,No,Yes,37990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,No,Yes,35990
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,No,33980
HP,Other,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,Yes,39990
DELL,Vostro,Intel,Core i3,10th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,Yes,39490
RedmiBook,15,Intel,Core i3,11th,8,DDR4,256,0,Windows,32-bit,0,ThinNlight,15.6,No,No,38990
HP,Pavilion,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14,Yes,Yes,53990
acer,Aspire,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,38990
realme,Book,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,Yes,46990
ASUS,Other,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,37990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14,No,Yes,37890
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,No,38990
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,No,37990
DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.96,No,Yes,41990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,45990
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,39990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,42490
Infinix,INBook,Intel,Core i3,10th,8,LPDDR4X,256,0,Windows,64-bit,0,ThinNlight,14,No,No,32990
DELL,Vostro,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,Yes,36990
Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14,Yes,Yes,53990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,No,36990
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,38940
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15,No,Yes,39490
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,45990
Lenovo,Ideapad,Intel,Core i3,10th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,Yes,39999
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,42990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,14,Yes,No,49990
DELL,Vostro,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,Yes,41490
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14.96,No,No,41990
Lenovo,Ideapad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,Yes,41990
Infinix,INBook,Intel,Core i3,10th,8,LPDDR4X,256,0,Windows,64-bit,0,ThinNlight,14,No,No,32990
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,38490
Lenovo,Other,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15,No,Yes,38990
Lenovo,ThinkPad,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,Yes,44990
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,14,No,No,36490
Lenovo,Other,Intel,Core i3,10th,8,DDR4,256,0,Windows,32-bit,0,Casual,15.6,No,No,38970
HP,Other,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,44900
MSI,Other,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,38990
DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,44427
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,35990
Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,Yes,40200
Lenovo,Other,Intel,Core i3,10th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,No,No,40990
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,42490
realme,Book,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,47999
acer,Chromebook,Intel,Celeron Dual,Other,4,DDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,23990
DELL,Other,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,Yes,No,71999
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,39990
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,Yes,41998
ASUS,Other,Intel,Core i3,11th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,No,No,41990
Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,Yes,39999
ASUS,Commercial,Intel,Core i3,10th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,No,No,39990
Lenovo,Ideapad,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,39998
HP,14s,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,42490
Lenovo,Other,Intel,Core i3,10th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,No,No,41990
ASUS,Other,Intel,Core i3,11th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,No,No,48490
HP,Other,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,44376
DELL,Other,Intel,Core i3,11th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,No,No,43900
DELL,INSPIRON,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,46690
Lenovo,Other,Intel,Core i3,10th,4,DDR4,256,0,Windows,32-bit,0,Casual,15.6,No,No,40990
DELL,Inspiron,Intel,Core i3,10th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,39990
Lenovo,V15,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,43990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64-bit,0,ThinNlight,15.6,No,No,36990
DELL,Other,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,48500
ASUS,VivoBook,Intel,Core i3,11th,8,DDR4,256,0,Windows,64-bit,0,Casual,15.6,No,No,48990
ASUS,Chromebook,Intel,Celeron Dual,Other,4,LPDDR4,0,512,Windows,32-bit,0,Casual,15.6,No,No,23490
HP,Pavilion,Intel,Core i3,8th,4,DDR4,256,0,Windows,64-bit,0,Casual,14,Yes,Yes,54238
ASUS,VivoBook,Intel,Core i3,10th,8,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,37990
HP,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,42990
HP,Other,Intel,Core i3,11th,8,DDR4,512,0,Windows,64-bit,0,ThinNlight,15.6,No,Yes,42990
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64-bit,0,Casual,15.6,No,No,35990
